1,0.99895,0,-0.045776,0.043661,-0.30045,0.9528,-0.013753,-0.9538,-0.30014
2,-0.99366,0,0.11241,-0.10895,0.24618,-0.96308,-0.027674,-0.96922,-0.24462
3,-0.18235,0,-0.98323,0.97921,0.090411,-0.1816,0.088895,-0.9959,-0.016486
4,0.95987,0,-0.28045,0.27051,-0.26379,0.92587,-0.073978,-0.96458,-0.2532
5,0.65,-0,0.75993,-0.40393,-0.84704,0.3455,0.64369,-0.53153,-0.55058
6,-0.76071,0,0.64909,-0.6417,-0.15052,-0.75204,0.097702,-0.98861,0.1145
7,-0.9916,0,0.12932,-0.12646,0.20938,-0.96962,-0.027077,-0.97783,-0.20762
8,-0.88527,0,0.46507,-0.42018,-0.42864,-0.79982,0.19935,-0.90348,0.37946
9,-0.93432,0,0.35642,-0.33721,-0.32392,-0.88395,0.11545,-0.94608,0.30265
10,0.083981,-0,0.99647,-0.44651,-0.89399,0.037631,0.89083,-0.44809,-0.075078
11,-0.8266,0,0.56278,-0.4519,-0.59603,-0.66373,0.33543,-0.80296,0.49268
12,0.9956,-0,0.093667,-0.092451,-0.16061,0.98268,0.015044,-0.98702,-0.15991
13,0.89463,-0,0.44681,-0.40103,-0.44093,0.80297,0.19701,-0.89754,-0.39447
14,-0.99732,0,0.073119,-0.070486,0.26598,-0.9614,-0.019448,-0.96398,-0.26527
15,0.99816,-0,0.060563,-0.057443,-0.31683,0.94674,0.019188,-0.94848,-0.31625
16,0.65119,-0,0.75891,-0.55337,-0.68435,0.47482,0.51936,-0.72916,-0.44564
17,0.98317,-0,0.18267,-0.1808,-0.14283,0.97309,0.02609,-0.98975,-0.14042
18,-0.01022,0,0.99995,-0.89195,-0.45204,-0.009116,0.45202,-0.892,0.0046197
19,-0.57423,0,0.81869,-0.81843,0.025101,-0.57405,-0.02055,-0.99968,-0.014414
20,-0.4749,0,-0.88004,0.83722,0.30813,-0.45179,0.27117,-0.95134,-0.14633
21,0.53072,0,-0.84755,0.78807,0.368,0.49347,0.3119,-0.92982,0.19531
22,-0.83268,0,0.55375,-0.54078,0.21514,-0.81318,-0.11913,-0.97658,-0.17915
23,0.94017,0,-0.34071,0.27503,-0.59024,0.75893,-0.2011,-0.80723,-0.55492
24,0.98839,0,-0.15192,0.10273,-0.7367,0.66837,-0.11192,-0.67622,-0.72815
25,0.14879,-0,0.98887,-0.94012,-0.3101,0.14146,0.30665,-0.9507,-0.04614
26,0.035785,-0,0.99936,-0.97111,0.23607,0.034774,-0.23592,-0.97174,0.0084477
27,0.97905,-0,0.20363,-0.2025,-0.10498,0.97364,0.021378,-0.99447,-0.10279
28,-0.41647,0,0.90915,-0.90483,0.097317,-0.4145,-0.088476,-0.99525,-0.04053
29,0.73877,0,-0.67396,0.66785,0.13432,0.73207,0.090525,-0.99094,0.099231
30,-0.65087,0,-0.75919,0.75646,0.08469,-0.64854,0.064295,-0.99641,-0.055122
31,0.65951,0,-0.75169,0.74619,0.12078,0.65469,0.090786,-0.99268,0.079653
32,0.81024,-0,0.5861,-0.5435,-0.37426,0.75136,0.21935,-0.92732,-0.30324
33,-0.25383,0,0.96725,-0.87457,0.42715,-0.22951,-0.41316,-0.90418,-0.10842
34,0.023442,-0,0.99973,-0.99736,0.068681,0.023387,-0.068662,-0.99764,0.00161
35,0.35208,0,-0.93597,0.74235,-0.60905,0.27924,-0.57006,-0.79313,-0.21444
36,-0.97288,0,0.23132,-0.23034,-0.091701,-0.96878,0.021212,-0.99579,0.089214
37,0.70083,-0,0.71333,-0.5975,-0.54626,0.58702,0.38966,-0.83762,-0.38283
38,-0.23686,0,0.97154,-0.85263,-0.47938,-0.20787,0.46574,-0.87761,0.11354
39,0.28463,0,-0.95864,0.95582,0.076577,0.2838,0.07341,-0.99706,0.021797
40,-0.79269,0,0.60962,-0.47689,-0.62293,-0.6201,0.37975,-0.78228,0.49379
41,0.69719,0,-0.71689,0.67126,0.35105,0.65282,0.25166,-0.93636,0.24475
42,-0.45591,0,0.89002,-0.88371,-0.11887,-0.45268,0.1058,-0.99291,0.054196
43,-0.93529,0,0.35387,-0.34198,0.25708,-0.90386,-0.090974,-0.96639,-0.24045
44,-0.78893,0,0.61448,-0.60326,0.19021,-0.77453,-0.11688,-0.98174,-0.15006
